condition,feature,HC_mean,HC_std,PD_mean,PD_std,HC_n,PD_n,U,p_raw,effect_r,p_fdr,significant,feat_type
Pooled,Rinsole:Gyr_X__perm_entropy,0.702715289605417,0.04101608337882693,0.7217910403027749,0.045146583484076366,136,139,12411.0,7.2321599758898066e-06,-0.3130554380025392,0.0011131806571300575,True,entropy
Pooled,Rinsole:Gyr_Z__min,-2.2360490185629676,0.8622917090154354,-2.7564024057218877,0.9463512114249174,136,139,6509.0,8.101875999072135e-06,0.31136267456622935,0.0011131806571300575,True,spatiotemporal
Pooled,Linsole:Gyr_Y__perm_entropy,0.6566380328993917,0.04144876070559101,0.6766739741879183,0.050560505509619144,136,139,12366.0,9.939113010089799e-06,-0.30829454083791785,0.0011131806571300575,True,entropy
Pooled,Rinsole:Gyr_Z__mean,0.08637787037066312,0.15844050867993698,-0.0011348320546942141,0.17846439639666398,136,139,6604.0,1.571637423950156e-05,0.3013118916631401,0.0013201754361181312,True,spatiotemporal
Pooled,Rinsole:Gyr_Z__perm_entropy,0.7159804437371083,0.04346691865144469,0.7347897039142,0.04108081545046099,136,139,12267.0,1.9692021640136603e-05,-0.2978205670757512,0.0013233038542171797,True,entropy
Pooled,Rinsole:Gyr_Y__perm_entropy,0.6492078336082331,0.04080805276377223,0.667599334133913,0.05169786270716991,136,139,12234.0,2.4614238402014413e-05,-0.29432924248836234,0.001378397350512807,True,entropy
Pooled,Linsole:Gyr_Mag__perm_entropy,0.7017549918635532,0.0392566831115784,0.7180522795288526,0.04741144923595979,136,139,12185.0,3.413046932644783e-05,-0.2891451544646635,0.001638262527669496,True,entropy
Pooled,Linsole:Acc_Y__mean,0.8584196993642307,0.5818706102983581,1.2021451093135513,0.7127144961300218,136,139,12078.0,6.841694281116675e-05,-0.27782479898434187,0.0028735115980690036,True,spatiotemporal
Pooled,Rinsole:Acc_Y__perm_entropy,0.8816932093114945,0.04370328066296717,0.8985712755334846,0.0490874184023068,136,139,12053.0,8.019689596623171e-05,-0.275179856115108,0.002994017449405984,True,entropy
Pooled,Linsole:Acc_Y__perm_entropy,0.8818334825751734,0.04387828034162565,0.8979590549236744,0.049677018836163406,136,139,12010.0,0.00010505981342626848,-0.27063055438002537,0.003530009731122621,True,entropy
Pooled,Linsole:Acc_Y__cv,17.263497860519966,67.42875823687233,7.187542079456494,12.072315179656158,136,139,6956.0,0.00015397316658932058,0.264071096064325,0.0047031803612737925,True,spatiotemporal
Pooled,Linsole:Gyr_Z__perm_entropy,0.7175438202865717,0.04283169079718477,0.7346577617994628,0.0422531903184296,136,139,11876.0,0.00023749562112953268,-0.2564536606009311,0.006211686812716482,True,entropy
Pooled,Linsole:Gyr_X__perm_entropy,0.7096076841622102,0.042287600893116124,0.7259672155892776,0.04680580715764121,136,139,11874.0,0.00024033312073010199,-0.25624206517139236,0.006211686812716482,True,entropy
Pooled,Rinsole:Gyr_Mag__perm_entropy,0.7071528002591121,0.04185459518556819,0.7220360232910207,0.04815053504124782,136,139,11846.0,0.00028354941668316927,-0.25327972915785013,0.006805186000396063,True,entropy
Pooled,Linsole:Gyr_Y__mean,0.03836951344525672,0.029734917799224943,0.02405991465166095,0.03858969017190835,136,139,7076.0,0.0003150680635994202,0.25137537029200174,0.007057524624627012,True,spatiotemporal
Pooled,Rinsole:Gyr_X__skewness,-0.3858759248926377,0.4588369565766192,-0.1731291060531873,0.446528275344811,136,139,11781.0,0.00041351157457818633,-0.24640287769784175,0.008683743066141914,True,spatiotemporal
Pooled,Rinsole:Gyr_Z__skewness,0.13049337686134352,0.6697216514394483,-0.1633936200687401,0.6986681145177734,136,139,7194.0,0.0006179039623646985,0.23889123994921713,0.012212690079678746,True,spatiotemporal
Pooled,Linsole:Acc_Z__perm_entropy,0.8815680282090287,0.04556733129565525,0.8959710415702595,0.05056685598840337,136,139,11663.0,0.000801277725144118,-0.23391874735505702,0.014957184202690203,True,entropy
Pooled,Rinsole:Acc_Z__perm_entropy,0.8819093453300365,0.04618834607059907,0.8967889330972317,0.051048146238331774,136,139,11616.0,0.0010341232672231482,-0.22894625476089714,0.01737327088934889,True,entropy
Pooled,Rinsole:Acc_Mag__min,7.260332625182478,0.7849687733723522,6.922774630831739,0.8453428709522938,136,139,7288.0,0.0010341232672231482,0.22894625476089714,0.01737327088934889,True,spatiotemporal
Pooled,Linsole:Acc_Y__dominant_freq,4.478825476369687,1.5796062232592716,3.913646564330997,1.3836357030746844,136,139,7345.0,0.0014000439979120205,0.22291578501904363,0.022400703966592328,True,frequency
Pooled,Rinsole:Acc_Mag__perm_entropy,0.8757271051596307,0.046559848797363364,0.8895799888174339,0.053162381361547044,136,139,11444.0,0.0025258557406781226,-0.21074904782056714,0.038576705857629505,True,entropy
