Condition,Model,N_PD,N_HC,Sensitivity,Specificity,Accuracy,Macro_F1,AUC
Pooled,RBF_SVM,38,38,0.6835,0.6691,0.6764,0.6763,0.724
Pooled,RandomForest,38,38,0.6043,0.6912,0.6473,0.6468,0.7427
Pooled,MLP,38,38,0.5468,0.7206,0.6327,0.6304,0.7312
SelfPace,RBF_SVM,36,36,0.6111,0.6667,0.6389,0.6386,0.6802
SelfPace,RandomForest,36,36,0.6944,0.6111,0.6528,0.6522,0.7133
SelfPace,MLP,36,36,0.5556,0.75,0.6528,0.6495,0.6659
TUG,RBF_SVM,34,38,0.7059,0.8158,0.7639,0.7616,0.808
TUG,RandomForest,34,38,0.5882,0.7895,0.6944,0.6884,0.7674
TUG,MLP,34,38,0.5588,0.8421,0.7083,0.6985,0.7879
TandemGait,RBF_SVM,34,38,0.5,0.7105,0.6111,0.6035,0.5797
TandemGait,RandomForest,34,38,0.5,0.7632,0.6389,0.6286,0.6815
TandemGait,MLP,34,38,0.5294,0.6842,0.6111,0.6062,0.6424
HurriedPace,RBF_SVM,35,24,0.7429,0.5,0.6441,0.6228,0.6952
HurriedPace,RandomForest,35,24,0.7714,0.25,0.5593,0.4954,0.6417
HurriedPace,MLP,35,24,0.6571,0.5417,0.6102,0.5986,0.6488
